brand,slug,asset_type,current_media_id,candidate_source_url,source_owner,usage_basis,rights_confidence,file_format,decision,new_media_id,assigned,notes
Sorgenfri,sorgenfri,logo,NULL,https://scandic-fashion.de,Scandic Fashion GmbH,B2B Händlerportal,MEDIUM,PNG,REVIEW,NULL,NO,Download aus B2B-Portal durch Inhaberin erforderlich
Sorgenfri,sorgenfri,title_image,7989cd5a-a0b0-45c9-b399-85f891b8bc87,https://scandic-fashion.de,Scandic Fashion GmbH,B2B Lookbook,MEDIUM,JPG,KEEP_TEMPORARILY,NULL,NO,Generisches Boutique-Bild bleibt bis Lookbook-Erhalt aktiv
Lykka du Nord,lykka-du-nord,logo,NULL,https://scandic-fashion.de,Scandic Fashion GmbH,B2B Händlerportal,MEDIUM,PNG,REVIEW,NULL,NO,Download aus B2B-Portal durch Inhaberin erforderlich
Lykka du Nord,lykka-du-nord,title_image,NULL,https://scandic-fashion.de,Scandic Fashion GmbH,B2B Lookbook,MEDIUM,JPG,MISSING,NULL,NO,Kein generisches Bild zugewiesen; Public Fallback greift
Seasalt,seasalt,logo,NULL,https://www.seasaltcornwall.com,Seasalt Ltd.,B2B Reseller Hub,MEDIUM,PNG,REVIEW,NULL,NO,Download aus offiziellem B2B-Portal durch Inhaberin
Seasalt,seasalt,title_image,NULL,https://www.seasaltcornwall.com,Seasalt Ltd.,B2B Marketing Hub,MEDIUM,JPG,MISSING,NULL,NO,Lookbook-Bild aus Händlerportal erforderlich
Pretty Vacant,pretty-vacant,logo,NULL,https://www.prettyvacantclothing.com,Pretty Vacant Clothing,Händlerbereich,MEDIUM,PNG,REVIEW,NULL,NO,Bereitstellung durch Markenvertretung
Pretty Vacant,pretty-vacant,title_image,NULL,https://www.prettyvacantclothing.com,Pretty Vacant Clothing,B2B Lookbook,MEDIUM,JPG,MISSING,NULL,NO,Lookbook-Bild aus Händlerbereich erforderlich
Cissi och Selma,cissi-och-selma,logo,NULL,https://cissiochselma.se,Cissi och Selma AB,B2B Pressematerial,MEDIUM,PNG,REVIEW,NULL,NO,Download aus schwedischem Händlerbereich
Cissi och Selma,cissi-och-selma,title_image,NULL,https://cissiochselma.se,Cissi och Selma AB,Presse-Kit,MEDIUM,JPG,MISSING,NULL,NO,Kampagnenbild aus Presse-Kit erforderlich
Danefae,danefae,logo,NULL,https://danefae.dk,Danefæ ApS,Wholesale Media Download,MEDIUM,PNG,REVIEW,NULL,NO,B2B-Download über Danefæ Händlerkonto
Danefae,danefae,title_image,NULL,https://danefae.dk,Danefæ ApS,Imagebank,MEDIUM,JPG,MISSING,NULL,NO,Outdoor-Fotografie aus Imagebank erforderlich
